#mu,eb,a_crit
0.230,0.68,0.042
0.190,0.72,0.037
0.010,0.55,0.087
0.120,0.24,0.158
0.190,0.73,0.037
0.050,0.46,0.096
0.160,0.05,0.298
0.220,0.40,0.093
0.230,0.69,0.040
0.170,0.25,0.147
0.190,0.74,0.035
0.180,0.59,0.056
0.080,0.21,0.184
0.190,0.75,0.033
0.110,0.03,0.361
0.230,0.70,0.039
0.130,0.29,0.137
0.090,0.33,0.125
0.190,0.76,0.032
0.050,0.47,0.093
0.210,0.16,0.186
0.030,0.10,0.420
0.070,0.08,0.344
0.010,0.56,0.085
0.230,0.71,0.038
0.180,0.60,0.055
0.190,0.77,0.030
0.140,0.35,0.113
0.120,0.25,0.155
0.190,0.78,0.029
0.230,0.72,0.037
0.040,0.25,0.174
0.190,0.79,0.027
0.001,0.25,0.496
0.180,0.61,0.056
0.080,0.22,0.183
0.250,0.03,0.290
0.050,0.48,0.091
0.220,0.41,0.091
0.190,0.80,0.026
0.230,0.73,0.035
0.090,0.34,0.125
0.210,0.17,0.181
0.130,0.30,0.133
0.010,0.57,0.080
0.160,0.06,0.276
0.120,0.26,0.152
0.180,0.62,0.054
0.110,0.04,0.345
0.140,0.36,0.111
0.220,0.42,0.088
0.230,0.74,0.034
0.030,0.11,0.417
0.230,0.75,0.033
0.180,0.63,0.050
0.070,0.09,0.304
0.170,0.26,0.143
0.210,0.18,0.175
0.040,0.26,0.171
0.230,0.76,0.032
0.220,0.43,0.088
0.050,0.49,0.088
0.130,0.31,0.129
0.160,0.07,0.273
0.230,0.77,0.030
0.180,0.64,0.052
0.120,0.27,0.145
0.250,0.04,0.289
0.230,0.78,0.028
0.090,0.35,0.120
